8480 13th Avenue	"$2,388,000"	8	7	50 ft x 166 ft (8300 ft²)	Built in 2019 (1 yrs old)	"$5,935"	Burnaby East	East Burnaby	House	Freehold NonStrata	3 Storey	166	50.00 feet	R2517218	Sophia Gee	RE/MAX Crest Realty	Brian Vidas PREC*	Sutton Centre Realty	46 Days on REW	Central Location	Shopping Nearby	Washer/Dryer/Fridge/Stove/Dishwasher	2				
117 7499 6th Street	"$839,000"	3	3	Built in 2018 (2 yrs old)	"$2,988"	$235	Burnaby East	East Burnaby	Townhouse	Freehold Strata	3 Storey	R2480954	Howie Jao PREC*	Jovi Realty Inc.	152 Days on REW	Drapes/window Coverings	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"In Suite Laundry, Storage"								
7843 10th Avenue	"$1,100,000"	2	1	50 ft x 141 ft (7050 ft²)	"$4,301"	Burnaby East	East Burnaby	House	Freehold NonStrata	Rancher/Bungalow	141	50.00 feet	R2449077	Neal Garcha	SRS Westside Realty	269 Days on REW	"Central Location, Lane Access, Private Setting, Private Yard"	"Recreation Nearby, Shopping Nearby"	1								
301 7180 Linden Avenue	"$279,000"	1	1	Built in 1973 (47 yrs old)	$760	$253	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	Upper Unit	R2524088	Brandon Gee-Moore PREC*	RE/MAX Crest Realty	12 Days on REW	Drapes/window Coverings	"Central Location, Recreation Nearby, Shopping Nearby"	"Microwave, Refrigerator, Stove"	"Elevator, Shared Laundry, Wheelchair Access"								
Ph3a 7025 Stride Avenue	"$519,000"	2	2	Built in 1992 (28 yrs old)	"$1,474"	$244	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"	R2523990	Lisa Borsato	RE/MAX All Points Realty	12 Days on REW	Drapes/window Coverings	"Central Location, Golf Course Nearby, Marina Nearby, Private Setting, Recreation Nearby, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Elevator, In Suite Laundry, Storage, Wheelchair Access"	1							
1109 7090 Edmonds Street	"$699,900"	2	2	Built in 2012 (8 yrs old)	"$1,854"	$300	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	Upper Unit	R2523665	Henry Wu PREC*	LeHomes Realty Premier	14 Days on REW	Garage Door Opener	"Central Location, Greenbelt, Recreation Nearby, Shopping Nearby, Treed"	Washer/Dryer/Fridge/Stove/Dishwasher	"Club House, Elevator, Exercise Centre, Garden, Guest Suite, In Suite Laundry"	1							
7 7428 14th Avenue	"$428,000"	1	1	Built in 2010 (10 yrs old)	"$1,365"	$196	Burnaby East	Edmonds	Townhouse	Freehold Strata	Ground Level Unit	R2523275	Simon King PREC*	RE/MAX Select Realty	17 Days on REW	Shopping Nearby	Washer/Dryer/Fridge/Stove/Dishwasher	In Suite Laundry									
1001 7090 Edmonds Street	"$628,000"	1	1	Built in 2012 (8 yrs old)	"$1,606"	$250	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"	R2520558	Henry Wu PREC*	LeHomes Realty Premier	30 Days on REW	"Smoke Alarm, Sprinkler - Fire"	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Elevator, Exercise Centre, Guest Suite, In Suite Laundry, Recreation Center"	1							
301 7428 19th Avenue	"$450,000"	2	1	Built in 1971 (49 yrs old)	"$1,275"	$314	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	1 Storey	R2519740	Tracy Niu PREC*	Nu Stream Realty Inc.	33 Days on REW	Smoke Alarm	"Central Location, Recreation Nearby, Shopping Nearby"	"Dishwasher, Refrigerator, Stove"	"Elevator, Shared Laundry, Storage"								
2606 7303 Noble Lane	"$615,000"	1	1	Built in 2019 (1 yrs old)	"$1,879"	$277	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	1 Storey	R2519182	Fred Zhang PREC*	Sutton Group-West Coast Realty	Nancy Ho PREC*	Sutton Group-West Coast Realty	35 Days on REW	"Drapes/window Coverings, Intercom, Smoke Alarm, Sprinkler - Fire"	"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Central Airconditioning, Club House, Concierge, Elevator, Exercise Centre, Garden"	Yes					
802 7088 18th Avenue	"$699,000"	2	2	Built in 2007 (13 yrs old)	"$2,035"	$329	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit,Upper Unit"	R2518318	Jack Tan PREC*	Sutton Group - 1st West Realty	39 Days on REW	"Garage Door Opener, Intercom, Smoke Alarm"	Washer/Dryer/Fridge/Stove/Dishwasher	"Elevator, Exercise Centre, Recreation Center, Sauna/Steam Room, Storage"	1								
2010 7303 Noble Lane	"$759,800"	2	2	Built in 2019 (1 yrs old)	"$2,360"	$364	Burnaby East	Edmonds	Apt/Condo	Freehold Strata	Inside Unit	R2515888	Maggie Zhu PREC*	RE/MAX Crest Realty	49 Days on REW	"Air Conditioning, Drapes/window Coverings, Garage Door Opener"	Central Location	Washer/Dryer/Fridge/Stove/Dishwasher	"Central Airconditioning, Club House, Exercise Centre, Garden, Sauna/Steam Room"	Yes							
