11060 Bird Road,"$2,200,000",4,1,66 ft x 407 ft (2686 ft²),Built in 1955 (65 yrs old),"$5,515",East Cambie,House,Freehold NonStrata,Basement Entry,407,66.00 feet,R2514465,Tim Timmath,Homelife Benchmark Titus Realty,Daniel Romey PREC*,Homelife Benchmark Titus Realty,53 Days on REW,"Central Location, Private Setting",Clothes Washer/Dryer,1,,,,,
12680 Harrison Avenue,"$1,830,000",6,3,9547 ft²,Built in 1995 (25 yrs old),"$4,864",East Cambie,House,Freehold NonStrata,2 Storey,0.00 feet,R2508678,Mark Tsang,Selmak Realty Limited,74 Days on REW,"Central Location, Garage Door Opener, Security System, Smoke Alarm","Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,
208 11240 Daniels Road,"$460,000",2,2,Built in 1978 (42 yrs old),$644,$327,East Cambie,Apt/Condo,Freehold Strata,Upper Unit,R2507088,Gaurav Maini,YPA Your Property Agent,Atul Maini,YPA Your Property Agent,79 Days on REW,"Drapes/window Coverings, Smoke Alarm","Recreation Nearby, Shopping Nearby","Dishwasher, Refrigerator, Stove","Elevator, Sauna/Steam Room, Shared Laundry, Storage",,,,,,
4411 Wyne Crescent,"$1,599,000",4,4,0 ft x 0 ft (4857 ft²),Built in 1995 (25 yrs old),"$4,183",East Cambie,House,Freehold NonStrata,2 Storey,0,0.00 feet,R2503699,Rena Liang PREC*,Sutton Group-West Coast Realty,89 Days on REW,Private Yard,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,
3671 Bamfield Drive,"$1,320,000",4,3,5151 ft²,Built in 1979 (41 yrs old),"$3,019",East Cambie,House,Freehold NonStrata,2 Storey,0.00 feet,R2494156,Allen Lu,Royal Pacific Realty Corp.,115 Days on REW,Washer/Dryer/Fridge/Stove/Dishwasher,,,,,,,,,,
7051 No. 6 Road,"$6,380,000",5,6,220 ft x 1260 ft (5.22 acres),Built in 1996 (24 yrs old),"$13,222",East Richmond,House,Freehold NonStrata,2 Storey,1260,220.00 feet,R2520351,Henry Wu PREC*,LeHomes Realty Premier,32 Days on REW,Garage Door Opener,Washer/Dryer/Fridge/Stove/Dishwasher,4,,,,,,,
12580 Westminster Highway,"$5,900,000",3,0,140 ft x 1265 ft (12.95 acres),$892,East Richmond,House,Freehold NonStrata,2 Storey,1265,140.00 feet,R2516089,Brad Latham,RE/MAX Nyda Realty Inc.,Steven Latham,RE/MAX Nyda Realty Inc.,46 Days on REW,Central Location,"Marina Nearby, Recreation Nearby, Shopping Nearby, Workshop Detached","Clothes Dryer, Clothes Washer, Stove",,,,,,
8711 Sidaway Road,"$7,865,000",7,4,400 ft x 1324 ft (12.16 acres),Built in 1973 (47 yrs old),"$3,170",East Richmond,House,Freehold NonStrata,2 Storey,1324,400.00 feet,R2507408,Surinder Holat,Dexter Realty,Tyler Peerless,Dexter Realty,Kuo Chang Sun (Derek),Dexter Realty,80 Days on REW,"Private Setting, Private Yard","Golf Course Nearby, Recreation Nearby, Shopping Nearby, Tennis Court(s), Workshop Detached",Washer/Dryer/Fridge/Stove/Dishwasher,1,,
7351 No. 6 Road,"$4,880,000",3,1,0 ft²,Built in 1953 (67 yrs old),"$1,151",East Richmond,House,Freehold NonStrata,1 Storey,R2483876,Beijing Liu PREC*,RE/MAX Crest Realty,143 Days on REW,,,,,,,,,,,,
9431 No. 6 Road,"$21,980,000",9,11,325 ft x 1332 ft (9.94 acres),Built in 2018 (2 yrs old),"$16,034",East Richmond,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,1332,325.00 feet,R2474848,Layla Yang PREC*,Dracco Pacific Realty,Frank Peng PREC*,Dracco Pacific Realty,170 Days on REW,"Garage Door Opener, Heat Recovery Ventilator, Oven - Built In, Private Yard, Security System, Smoke Alarm","Golf Course Nearby, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,2,,,
9660 Sidaway Road,"$8,880,000",0,0,326 ft x 1337 ft (10.03 acres),$364,East Richmond,House,Freehold NonStrata,"2 Storey,Carriage/Coach House",1337.6,326.70 feet,R2400643,Elaine Wu PREC*,LeHomes Realty Premier,487 Days on REW,"Central Location, Private Setting, Private Yard",Golf Course Nearby,2,,,,,,,,
103 14200 Riverport Way,"$789,000",3,2,Built in 2006 (14 yrs old),"$2,415",$670,East Richmond,Apt/Condo,Freehold Strata,"Corner Unit,Ground Level Unit",R2521588,Sam Li PREC*,RE/MAX Crest Realty,25 Days on REW,"Fireplace Insert, Intercom, Security System, Smoke Alarm, Sprinkler - Fire","Air Conditioning, Golf Course Nearby, Private Setting, Recreation Nearby, Shopping Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,"Bike Room, Central Airconditioning, Elevator, Garden, In Suite Laundry, Wheelchair Access",1,Yes,,,,,,
17731 Westminster Highway,"$9,888,888",5,2,656 ft x 1 ft (19.54 acres),Built in 1961 (59 yrs old),"$1,148",East Richmond,House,Freehold NonStrata,2 Storey,"1,297.5 (19.54 AC)",656.00 feet,R2520217,Rajin Gill PREC*,B.C. Farm & Ranch Realty Corp.,Greg Walton,B.C. Farm & Ranch Realty Corp.,31 Days on REW,"Private Setting, Rural Setting","Barn, Recreation Nearby, Shopping Nearby, Storage, Workshop Detached","Clothes Washer/Dryer, Refrigerator, Stove",1,,,,
6111 No. 6 Road,"$2,995,000",13,8,66 ft x 330 ft (21788 ft²),Built in 2009 (11 yrs old),"$7,768",East Richmond,House,Freehold NonStrata,2 Storey,330,66.00 feet,R2507898,Mary Saleh,RE/MAX Crest Realty,76 Days on REW,Private Setting,,,,,,,,,
9231 No. 6 Road,"$4,380,000",3,0,163 ft x 1337 ft (5.0 acres),Built in 1956 (64 yrs old),$621,East Richmond,House,Freehold NonStrata,2 Storey,1337,163.22 feet,R2499908,Ruby Chang PREC*,LeHomes Realty Premier,101 Days on REW,,,,,,,,,,
8191 No 6 Road,"$4,388,000",5,7,88 ft x 417 ft (37554 ft²),Built in 2021 (-1 yrs old),"$6,201",East Richmond,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,417,88.00 feet,R2493894,Layla Yang PREC*,Dracco Pacific Realty,Peggy Li PREC*,Dracco Pacific Realty,115 Days on REW,"Air Conditioning, Heat Recovery Ventilator","Central Air Conditioning, Guest Suite, In Suite Laundry, Storage",Washer/Dryer/Fridge/Stove/Dishwasher,Yes,,,
12671 Blundell Road,"$5,688,000",5,8,99 ft x 1287 ft (2.93 acres),Built in 1997 (23 yrs old),"$9,155",East Richmond,House,Freehold NonStrata,2 Storey,1287.8,99.01 feet,R2492926,Layla Yang PREC*,Dracco Pacific Realty,117 Days on REW,"Air Conditioning, Central Location, Private Setting, Private Yard","Central Air Conditioning, Golf Course Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,3,Yes,,,,,
8220 No. 3 Road,"$1,888,000",10,10,66 ft x 140 ft (9240 ft²),Built in 1960 (60 yrs old),"$5,119",Garden City,House,Freehold NonStrata,3 Level Split,140,66.00 feet,R2511154,Sandra Li PREC*,LeHomes Realty,67 Days on REW,Central Location,"Recreation Nearby, Shopping Nearby","Clothes Washer/Dryer, Refrigerator, Stove",,,,,,,
8811 No. 4 Road,"$1,498,000",3,3,40 ft x 100 ft (4000 ft²),Built in 1981 (39 yrs old),"$3,434",Garden City,House,Freehold NonStrata,2 Storey,100,40.00 feet,R2494977,Tina Gonzalez,Sutton Group Seafair Realty,Diana Dickey,Sutton Group Seafair Realty,111 Days on REW,"Drapes/window Coverings, Lane Access, Private Yard, Storage Shed","Microwave, Washer/Dryer/Fridge/Stove/Dishwasher",2,,,,,
8740 Wheeler Road,"$2,790,000",8,8,80 ft x 141 ft (11281 ft²),Built in 1993 (27 yrs old),"$7,598",Garden City,House,Freehold NonStrata,2 Storey,141.4,80.00 feet,R2465208,Sandra Li PREC*,LeHomes Realty,194 Days on REW,Garden,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,,
3 9055 Dayton Avenue,"$2,069,000",3,4,36 ft x 40 ft (0 ft²),Built in 2018 (2 yrs old),"$5,900",$392,Garden City,House,Freehold Strata,2 Storey,Heat Recovery Ventilator,40,36.00 feet,R2462804,Jacqueline Wong PREC*,Royal Pacific Realty Corp.,201 Days on REW,"Air Conditioning, Central Location, Drapes/window Coverings, Heat Recovery Ventilator, Intercom, Oven - Built In, Private Setting, Private Yard, Security System, Smoke Alarm, Vacuum - Built In, Wine Cooler","Club House, Exercise Centre, Garden, Playground, Recreation Center, Recreation Nearby, Shopping Nearby, Wheelchair Access",Washer/Dryer/Fridge/Stove/Dishwasher,1,Yes,,,
8231 Bowcock Road,"$3,998,000",6,8,19875 ft²,Built in 1996 (24 yrs old),"$11,457",Garden City,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,0.00 feet,R2457544,Naomi Wang PREC*,Sutton Group-West Coast Realty,221 Days on REW,"Air Conditioning, Central Location, Drapes/window Coverings, Fireplace Insert, Heat Recovery Ventilator, Private Setting, Private Yard, Security System, Vacuum - Roughed In","Central Air Conditioning, Garden, Playground, Recreation Nearby, Sauna/steam Room, Shopping Nearby, Swirlpool/hot Tub",Washer/Dryer/Fridge/Stove/Dishwasher,3,Yes,Yes,,,,
8231 Bowcock Road,"$3,998,000",6,8,19875 ft²,Built in 1996 (24 yrs old),"$11,457",Garden City,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,0.00 feet,R2457544,Naomi Wang PREC*,Sutton Group-West Coast Realty,221 Days on REW,"Air Conditioning, Central Location, Drapes/window Coverings, Fireplace Insert, Heat Recovery Ventilator, Private Setting, Private Yard, Security System, Vacuum - Roughed In","Central Air Conditioning, Garden, Playground, Recreation Nearby, Sauna/steam Room, Shopping Nearby, Swirlpool/hot Tub",Washer/Dryer/Fridge/Stove/Dishwasher,3,Yes,Yes,,,,
